"","frtn","rf"
"1989-09-29",0.005030871,0.0003138889
"1989-10-02",0.01109215,0.0003130952
"1989-10-03",0.006413502,0.0003087302
"1989-10-04",0.0002236011,0.0003087302
"1989-10-05",0.005197563,0.0003079365
"1989-10-06",0.002946736,0.0003007937
"1989-10-09",-0.001718499,0.0003007937
"1989-10-10",-0.005830742,0.0003027778
"1989-10-11",-0.004356812,0.0003055556
"1989-10-12",-0.03319351,0.0003055556
"1989-10-13",0.02784583,0.0003019841
"1989-10-16",-0.004825301,0.0002952381
"1989-10-17",0.001869377,0.0002948413
"1989-10-18",0.01586006,0.000297619
"1989-10-19",0.0002295948,0.0003003968
"1989-10-20",-0.006599334,0.0002996032
"1989-10-23",-0.003119404,0.0003003968
"1989-10-24",-0.003360955,0.000297619
"1989-10-25",-0.01319844,3e-04
"1989-10-26",-0.008366722,0.0003015873
"1989-10-27",0.0001782531,0.0003079365
"1989-10-30",0.01592111,0.0003075397
"1989-10-31",0.002572949,0.0003083333
"1989-11-01",-0.00781569,0.0003087302
"1989-11-02",-0.002410205,0.000306746
"1989-11-03",-0.01473188,0.0003111111
"1989-11-06",0.006758373,0.0003123016
"1989-11-07",0.01009921,0.0003075397
"1989-11-08",-0.004528613,0.0003051587
"1989-11-09",0.007680492,0.0003055556
"1989-11-10",0.00146576,0.0003059524
"1989-11-13",-0.004449388,0.0003055556
"1989-11-14",0.00764481,0.0003039683
"1989-11-15",0.0002918004,0.0003031746
"1989-11-16",0.003150525,0.0003039683
"1989-11-17",-0.0065139,0.0003047619
"1989-11-20",0.0008781173,0.0003047619
"1989-11-21",0.006960285,0.0003027778
"1989-11-22",0.006157063,0.0003011905
"1989-11-24",0.004907055,0.0002980159
"1989-11-27",0.0005744815,0.0003039683
"1989-11-28",-0.006143423,0.0003059524
"1989-11-29",0.007105719,0.0003039683
"1989-11-30",0.01353754,0.0003011905
"1989-12-01",0.002377045,0.0002988095
"1989-12-04",-0.005081588,0.0002996032
"1989-12-05",-0.002837523,3e-04
"1989-12-06",-0.00261795,0.0003031746
"1989-12-07",0.003309558,0.0003051587
"1989-12-08",-0.0002274925,0.0003019841
"1989-12-11",0.009215541,0.0003031746
"1989-12-12",0.00298743,0.0003039683
"1989-12-13",-0.005001686,0.0003051587
"1989-12-14",-0.002372211,0.000302381
"1989-12-15",-0.01806035,0.000302381
"1989-12-18",-0.003401753,0.0003015873
"1989-12-19",0.001214926,0.0003043651
"1989-12-20",0.005778343,0.0003003968
"1989-12-21",0.007813398,3e-04
"1989-12-22",-0.001653175,0.0003011905
"1989-12-26",0.005938446,0.0003079365
"1989-12-27",0.005449282,0.000306746
"1989-12-28",0.007903799,0.0003047619
"1989-12-29",0.01792416,0.0002996032
"1990-01-02",-0.002421174,0.0003007937
"1990-01-03",-0.008494677,0.0003027778
"1990-01-04",-0.009624478,0.0003011905
"1990-01-05",0.004662397,0.0002992063
